"","Season","Team","Roster Continuity","Lg","W","L","WP","Finish","SRS","Pace","Rel_Pace","ORtg","Rel_ORtg","DRtg","Rel_DRtg","Playoffs","Coaches","Top.WS","Winning.Percentage.ratio"
"1","2017","BOS",0.41,"NBA",29,10,0.744,1,4.38,95.4,-1.7,108,0.2,102.8,-5,"","B. Stevens (29-10)","K. Irving (5.7)",0.547169811320755
"2","2016","BOS",0.79,"NBA",53,29,0.646,1,2.25,96.8,0.4,111.2,2.4,108.4,-0.4,"Lost E. Conf. Finals","B. Stevens (53-29)","I. Thomas (12.5)",1.10416666666667
"3","2015","BOS",0.85,"NBA",48,34,0.585,2,2.84,98.5,2.7,106.8,0.4,103.6,-2.8,"Lost E. Conf. 1st Rnd.","B. Stevens (48-34)","I. Thomas (9.7)",1.2
"4","2014","BOS",0.5,"NBA",40,42,0.488,2,-0.4,95.8,1.9,104.7,-0.9,104.5,-1.1,"Lost E. Conf. 1st Rnd.","B. Stevens (40-42)","T. Zeller (6.5)",1.6
"5","2013","BOS",0.59,"NBA",25,57,0.305,4,-4.97,93.3,-0.6,102.9,-3.8,107.7,1,"","B. Stevens (25-57)","B. Bass (5.1)",0.609756097560976
"6","2012","BOS",0.53,"NBA",41,40,0.506,3,-0.62,91.7,-0.3,103.1,-2.8,103.3,-2.6,"Lost E. Conf. 1st Rnd.","D. Rivers (41-40)","P. Pierce (7.2)",1.05128205128205
"7","2011","BOS",0.65,"NBA",39,27,0.591,1,2.26,90.4,-0.9,101,-3.6,98.2,-6.4,"Lost E. Conf. Finals","D. Rivers (39-27)","P. Pierce (7.0)",0.696428571428571
"8","2010","BOS",0.76,"NBA",56,26,0.683,1,4.83,90.4,-1.7,106.2,-1.1,100.3,-7,"Lost E. Conf. Semis","D. Rivers (56-26)","P. Pierce (11.6)",1.12
"9","2009","BOS",0.79,"NBA",50,32,0.61,1,3.37,91.6,-1.1,107.7,0.1,103.8,-3.8,"Lost Finals","D. Rivers (50-32)","R. Rondo (9.6)",0.806451612903226
"10","2008","BOS",0.94,"NBA",62,20,0.756,1,7.44,90.4,-1.3,110.5,2.2,102.3,-6,"Lost E. Conf. Semis","D. Rivers (62-20)","R. Allen (11.1)",0.939393939393939
"11","2007","BOS",0.5,"NBA",66,16,0.805,1,9.3,90.9,-1.5,110.2,2.7,98.9,-8.6,"Won Finals","D. Rivers (66-16)","K. Garnett (12.9)",2.75
"12","2006","BOS",0.75,"NBA",24,58,0.293,5,-3.7,92,0.1,103.2,-3.3,106.9,0.4,"","D. Rivers (24-58)","A. Jefferson (6.6)",0.727272727272727
"13","2005","BOS",0.72,"NBA",33,49,0.402,3,-1.59,92.2,1.7,105.2,-1,106.9,0.7,"","D. Rivers (33-49)","P. Pierce (11.5)",0.733333333333333
"14","2004","BOS",0.67,"NBA",45,37,0.549,1,0.35,93.3,2.4,107.5,1.4,106.6,0.5,"Lost E. Conf. 1st Rnd.","D. Rivers (45-37)","P. Pierce (11.2)",1.25
"15","2003","BOS",0.5,"NBA",36,46,0.439,4,-1.99,93.2,3.1,102.1,-0.8,103.7,0.8,"Lost E. Conf. 1st Rnd.","J. O'Brien (22-24) J. Carroll (14-22)","P. Pierce (7.1)",0.818181818181818
"16","2002","BOS",0.78,"NBA",44,38,0.537,3,-0.75,90.9,-0.1,101.2,-2.4,101.6,-2,"Lost E. Conf. Semis","J. O'Brien (44-38)","P. Pierce (10.1)",0.897959183673469
